timestamp,frame_idx,did_infer,detections,capture_ms,infer_ms,draw_ms,encode_ms,emit_ms,loop_ms,display_fps
2026-04-24 09:46:35,248,0,0,4.221,0.0,19.909,1.327,0.456,26.43,23.441
2026-04-24 09:46:36,249,1,0,1.571,260.609,4.273,1.566,0.407,269.03,21.431
2026-04-24 09:46:36,250,0,0,1.788,0.0,6.128,1.535,0.554,10.481,23.494
2026-04-24 09:46:36,251,0,0,1.663,0.0,5.601,1.294,0.265,9.72,25.085
2026-04-24 09:46:36,252,1,0,1.839,247.711,19.879,1.159,0.848,271.865,22.944
2026-04-24 09:46:36,253,0,0,2.409,0.0,18.699,1.194,0.403,23.194,23.111
2026-04-24 09:46:36,254,0,0,2.431,0.0,4.937,1.196,0.261,9.073,23.407
2026-04-24 09:46:36,255,1,0,11.647,213.173,6.001,1.443,0.451,233.238,21.472
2026-04-24 09:46:36,256,0,0,4.539,0.0,4.6,1.891,0.452,12.001,23.425
2026-04-24 09:46:36,257,0,0,4.581,0.0,4.335,1.201,0.425,10.995,24.876
2026-04-24 09:46:37,258,1,0,4.788,241.156,21.08,1.878,0.48,269.854,22.762
2026-04-24 09:46:37,259,0,0,1.586,0.0,16.408,2.042,0.253,20.806,22.557
2026-04-24 09:46:37,260,0,0,2.246,0.0,5.528,1.696,0.489,10.476,22.948
2026-04-24 09:46:37,261,1,0,2.132,207.449,5.313,1.827,0.438,217.674,21.085
2026-04-24 09:46:37,262,0,0,1.789,0.0,6.257,1.828,0.404,10.779,22.636
2026-04-24 09:46:37,263,0,0,2.327,0.0,6.511,1.93,0.483,11.783,23.963
2026-04-24 09:46:37,264,1,0,3.157,206.278,14.058,2.328,0.354,226.922,21.988
2026-04-24 09:46:37,265,0,0,1.5,0.0,4.551,2.167,0.45,9.067,22.659
2026-04-24 09:46:37,266,0,0,7.152,0.0,3.799,1.594,0.469,13.514,24.743
2026-04-24 09:46:37,267,1,0,3.923,238.205,5.256,1.696,0.253,249.736,22.654
2026-04-24 09:46:37,268,0,0,2.322,0.0,5.471,1.856,0.339,10.343,24.458
2026-04-24 09:46:37,269,0,0,2.262,0.0,6.613,1.188,0.324,10.762,25.978
2026-04-24 09:46:38,270,1,0,1.995,207.508,6.131,1.978,0.459,218.551,23.81
2026-04-24 09:46:38,271,0,0,4.471,0.0,5.179,1.716,0.611,12.244,25.62
2026-04-24 09:46:38,272,0,0,2.058,0.0,4.019,1.746,0.392,8.658,26.644
2026-04-24 09:46:38,273,1,0,5.337,207.484,5.3,1.82,0.389,220.83,24.412
